STR_LANGUAGE			{Chinese}
STR_LANGCODE			{\x01}

STR_LANG					{Language}
STR_LANG_DESC				{选择你的语言.}
STR_GATHERING				{正在收集数据…}
STR_COPYING					{复制…}
STR_FROM					{从}
STR_TO						{to}
STR_FILES					{文件夹}
STR_DIRS					{目录}
STR_UNKNOWN					{未知}
STR_FILE					{文件}
STR_CANCEL					{取消}
STR_TURNOFF_YES				{旋转 OFF = YES}
STR_TURNOFF_NO				{旋转 OFF = NO}
STR_CANCELLED				{注销}
STR_UNIT					{字节}
STR_TOTALSIZE				{总 大小}
STR_HIDELOGS				{隐藏 日志}
STR_SHOWLOGS				{显示 日志}
STR_BOOST					{Boost!}
STR_GAMEMENU				{游戏 菜单}
STR_SETTINGS				{设置}
STR_MOUNTGAME				{挂载游戏}
STR_FILTER					{滤波器}
STR_FAVORITE				{最喜欢的}
STR_FILEMANAGER				{文件管理器}
STR_HOLD					{按住}
STR_BACKTOXMB				{返回到 XMB}
STR_GAME_PROP				{游戏 属性}
STR_GAME_TITLE				{名称}
STR_GAME_PATH				{路径}
STR_GAME_FORMAT				{格式}
STR_GAME_SIZE				{大小}
STR_GAME_PLATFORM			{平台}
STR_SYSVERS					{固件}
STR_GAMEID					{标识符}
STR_ELFCRC					{ELF CRC}
STR_ELFCRCO					{ELF CRC (原始)}
STR_BACK					{后退}
STR_ENTER					{进入}
STR_UPDATE_FOUND			{更新发现}
STR_UPDATE					{更新}
STR_SIZE					{大小}
STR_SYSTEM					{系统}
STR_DL						{下载}
STR_DL_ALL					{下载全部}
STR_UNPLUG					{弹出以下设备(s)}
STR_PATH					{路径}
STR_TYPE					{类型}
STR_FOLDER					{文件夹}
STR_DIR						{目录}
STR_MULT					{倍数}
STR_THM_SETTINGS			{主题设置}
STR_THM						{主题}
STR_THM_DESC				{加载所需主题.您可以从/dev_usbxxx/themes安装它们.}
STR_CREATE					{创造}
STR_ZOOM_OUT				{缩小}
STR_ZOOM_IN					{放大}
STR_MOVE_FRAME				{移动框架}
STR_CHECK					{检查}
STR_UNCHECK					{取消检查}
STR_GAME_OPTION				{游戏设置}
STR_ADD_FAV					{添加到收藏夹}
STR_REM_FAV					{从收藏夹中删除}
STR_FAV_DESC				{管理您最喜欢的游戏列表.}
STR_RENAME					{重命名}
STR_RENAME_DESC				{重命名备份的标题.}
STR_DELETE					{删除}
STR_DELETE_DESC				{删除备份.}
STR_COPY					{复制}
STR_COPY_DESC				{将备份复制到其他路径.}
STR_CREATE_ICON0			{创建 ICON0}
STR_CREATE_ICON0_DESC		{从封面创建“假”ICON0.}
STR_REST_PNACH				{恢复 PNACH}
STR_REST_PNACH_DESC			{删除pnach文件应用于备份的修补程序.}
STR_APPLY_PNACH				{应用 PNACH}
STR_APPLY_PNACH_DESC		{将pnach文件中的修补程序应用于备份.}
STR_DISABLE_WS				{禁用宽屏}
STR_ENABLE_WS				{启用宽屏}
STR_WS_DESC					{以16:9而不是4:3显示游戏.}
STR_DISABLE_480P			{禁用 480P}
STR_ENABLE_480P				{启用 480P}
STR_480P_DESC				{480p中的渐进扫描模式.}
STR_DISABLE_YFIX			{禁用 YFIX}
STR_ENABLE_YFIX				{启用 YFIX}
STR_YFIX_DESC				{固定垂直位置.}
STR_DISABLE_FMVSKIP			{禁用 FMV skip}
STR_ENABLE_FMVSKIP			{启用 FMV skip}
