STR_LANGUAGE                  {日本語}
STR_LANGCODE                  {\x08}

STR_LANG                      {言語}
STR_LANG_DESC                 {言語を選択...}
STR_GATHERING                 {データを収集中です...}
STR_COPYING                   {コピー中...}
STR_FROM                      {元の場所}
STR_TO                        {保存先}
STR_FILES                     {ファイル数}
STR_DIRS                      {フォルダー数}
STR_UNKNOWN                   {不明}
STR_FILE                      {ファイル名}
STR_CANCEL                    {キャンセル}
STR_TURNOFF                   {完了後、電源を切る}
STR_CANCELLED                 {キャンセルされました}
STR_UNIT                      {バイト}
STR_TOTALSIZE                 {総サイズ}
STR_HIDELOGS                  {ログを隠す}
STR_SHOWLOGS                  {ログを表示}
STR_BOOST                     {ブースト!}
STR_GAMEMENU                  {ゲームメニュー}
STR_SETTINGS                  {コンテンツ}
STR_MOUNTGAME                 {ゲームをマウントする}
STR_FILTER                    {フィルター}

STR_FILEMANAGER               {ファイルマネージャ}
STR_HOLD                      {長押し}
STR_EXIT                      {終了}
STR_GAME_PROP                 {ゲームのプロパティ}
STR_GAME_TITLE                {タイトル}
STR_GAME_PATH                 {パス}
STR_GAME_FORMAT               {種類}
STR_GAME_SIZE                 {サイズ}
STR_GAME_PLATFORM             {プラットフォーム}
STR_SYSVERS                   {ファームウェア}
STR_GAMEID                    {ゲームID}
STR_ELFCRC                    {ELF CRC}
STR_ELFCRCO                   {ELF CRC(オリジナル)}
STR_BACK                      {戻る}
STR_ENTER                     {選択}
STR_UPDATE_FOUND              {アップデートが利用可能です。}
STR_UPDATE                    {最新バージョンの確認}
STR_SIZE                      {サイズ}
STR_SYSTEM                    {本体}
STR_DL                        {ダウンロード}
STR_DL_ALL                    {すべてダウンロード}
STR_UNPLUG                    {次のデバイスを取り外してください。}
STR_PATH                      {パス}
STR_TYPE                      {種類}
STR_FOLDER                    {フォルダ}
STR_DIR                       {ディレクトリ}
STR_MULT                      {複数}
STR_THM_SETTINGS              {テーマ設定}
STR_THM                       {テーマ}
STR_THM_DESC                  {任意のテーマを読み込みます。 dev_usbXXX/Themes からインストールできます。}
STR_CREATE                    {作成する}
STR_ZOOM_OUT                  {ズームアウト}
STR_ZOOM_IN                   {ズームイン}
STR_MOVE_FRAME                {フレームを移動}
STR_CHECK                     {チェック}
STR_UNCHECK                   {チェック解除}
STR_GAME_OPTION               {ゲームオプション}
STR_ADD_FAV                   {お気に入りに追加}
STR_REM_FAV                   {お気に入りから削除する}
STR_FAV_DESC                  {お気に入りのゲームのリストを管理する。}
STR_RENAME                    {名前を変更}
STR_RENAME_DESC               {バックアップのタイトルの名前を変更します。}
STR_DELETE                    {削除}
STR_DELETE_DESC               {バックアップを削除します。}
STR_COPY                      {コピー}
STR_COPY_DESC                 {バックアップを別のパスにコピーします。}
STR_CREATE_ICON0              {ICON0の作成}
STR_CREATE_ICON0_DESC         {カバーから偽のICON0を作成します。}
STR_REST_PNACH                {PNACHを復元}
STR_REST_PNACH_DESC           {バックアップに適用されたpnachファイルのパッチを削除する}
STR_APPLY_PNACH               {PNACHを適用}
STR_APPLY_PNACH_DESC          {バックアップにpnachファイルからのパッチを適用する}
STR_DISABLE_WS                {ワイドスクリーンを無効にする}
STR_ENABLE_WS                 {ワイドスクリーンを有効にする}
STR_WS_DESC                   {4:3の代わりに16:9でゲームを表示します。}
STR_DISABLE_480P              {480pを無効にする}
STR_ENABLE_480P               {480Pを有効にする}
STR_480P_DESC                 {480Pのプログレッシブスキャンモード。}
STR_DISABLE_YFIX              {YFIXを無効にする}
STR_ENABLE_YFIX               {YFIXを有効にする}
STR_YFIX_DESC                 {縦の位置を固定する。}
STR_DISABLE_FMVSKIP           {FMV飛ばしを無効にする}
STR_ENABLE_FMVSKIP            {FMV飛ばしを有効にする}
STR_FMVSKIP_DESC              {FMV動画をスキップできます。}
STR_DISABLE_NETEMU            {NetEMUを無効にする}
STR_ENABLE_NETEMU             {NetEMUを有効にする}
STR_NETEMU_DESC               {ps2 netemuの使用を強制します。}
STR_SAVE_CONFIG               {CONFIGファイルを保存する。}
STR_CONFIG                    {CONFIG設定}
STR_CONFIG_DESC               {[実験的] 自分のCONFIGファイルを作成して、PS2バックアップを「修正」する。}
STR_NONE                      {なし}
STR_CHECK_MD5                 {MD5をチェック}
STR_PROPS                     {プロパティ}
STR_PROPS_DESC                {バックアップのプロパティを表示します。}
STR_GAME_SETTINGS             {ゲーム設定}
STR_DIRECT_BOOT               {直接起動}
STR_DIRECT_BOOT_DESC          {XMB™に戻らず、直接ゲームを起動します。}
STR_YES                       {はい}
STR_NO                        {いいえ}
STR_CLEAN_SYSCALL             {syscallの清掃化}
STR_CLEAN_SYSCALL_DESC        {peekとpokeのsyscallを無効にします。}
STR_CHANGE_IDPS               {IDPSの変更}
STR_CHANGE_IDPS_DESC          {IDPSをlv2に変更します。}
STR_EXT_GAME_DATA             {Ext.ゲームデータ}
STR_EXT_GAME_DATA_DESC        {本体のHDDではなく、USBデバイスにゲームデータをインストールします。}
STR_PAYLOAD                   {ペイロード}
STR_PAYLOAD_DESC              {バックアップをマウントするペイロードを選択します。}
STR_PRIM_USB                  {主要なUSBデバイスを選択}
STR_PRIM_USB_DESC             {ゲームが保存されているUSBデバイスを主要なUSBデバイスとして設定します。}
STR_BDEMU                     {Blu-ray Disc™エミュレーション}
STR_BDEMU_DESC                {バックアップをマウントするエミュレーションの種類を選択します。}
STR_PATCH_LIBFS               {libfsをパッチする}
STR_PATCH_LIBFS_DESC          {使用するパッチ付きlibfを選択します。}
STR_MOUNT_APPHOME             {/app_homeをマウントする}
STR_MOUNT_APPHOME_DESC        {/app_homeのパスを/dev_bdvdにリダイレクトします。}
STR_PATCH_EXP                 {explore_pluginをパッチする}
STR_PATCH_EXP_DESC            {プラグインexplore_plugin内で、パス/app_homeは/dev_bdvdに置き換えられています。}
STR_MAKE_SHTCUT_PKG           {ショートカットのPKGを作成}
STR_MAKE_SHTCUT_PKG_DESC      {/dev_hdd0/packagesに保存されるPKGを作成します。インストールされると、XMB™からバックアップをマウントするための「ショートカット」となります。}
STR_PATCH_EBOOT               {EBOOT.BINをパッチする}
STR_PATCH_EBOOT_DESC          {EBOOTファイルのファームウェアのバージョンを4.21に変更して、エラー0x80010009を防ぎます。}
STR_RESIGN                    {再著名する}
STR_RESIGN_DESC               {バックアップのすべての実行可能ファイルを4.21のキーで再署名します。}
STR_RESTORE                   {復元}
STR_RESTORE_DESC              {バックアップの元の実行可能ファイルを復元する。}
STR_EXTRACT_ISO               {ISOを展開する}
STR_EXTRACT_ISO_DESC          {ISOからファイルをフォルダーに展開します。}
STR_CONVERT_ISO               {ISOに変換する}
STR_CONVERT_ISO_DESC          {JBバックアップをISOに変換します。}
STR_FIX_PERMS                 {権限の修正}
STR_FIX_PERMS_DESC            {バックアップの各フォルダとファイルの権限値を0777に設定します。}
STR_CHECK_IRD                 {ファイルをチェック (IRD)}
STR_CHECK_DESC                {バックアップのファイルが変更されていないか確認します。}
STR_DL_UPDATE                 {アップデートをダウンロードする}
STR_DL_UPDATE_DESC            {バックアップの更新を dev_hdd0/packages にダウンロードします。}
STR_OPEN_WINDOW               {新しいウィンドウを開く}
STR_DUMP_LV1                  {lv1のダンプ}
STR_DUMP_LV2                  {lv2のダンプ}
STR_DUMP_FLASH                {フラッシュのダンプ}
STR_REFRESH                   {更新}
STR_NEWFOLDER                 {新しいフォルダー}
STR_NEWFILE                   {新しいファイル}
STR_PASTE                     {貼り付け}
STR_CUT                       {切り取り}
STR_UNSELECT_ALL              {選択解除}
STR_SELECT_ALL                {全て選択}
STR_MAKE_PKG                  {PKGを作る}
STR_GETMD5                    {MD5を取得}
STR_GETSHA1                   {SHA1を取得}
STR_VIEW                      {表示}
STR_VIEW_TXT                  {TXTを表示}
STR_VIEW_SFO                  {SFOを表示}
STR_READ_XREG                 {xRegを読む}
STR_EXTRACT_ELF               {ELFを展開}
STR_RESIGN_SELF               {SELFの割り当て}
STR_LAUNCH_SELF               {SELFを起動}
STR_EXTRACT_EBOOT             {EBOOTを展開}
STR_RESIGN_EBOOT              {EBOOTの割り当て}
STR_LAUNCH_EBOOT              {EBOOTを起動}
STR_SIGN_ELF                  {ELFを著名する}
STR_SIGN_EBOOT                {EBOOTを著名する}
STR_SIGN_PRX                  {PRXを著名する}
STR_EXTRACT_PRX               {PRXを展開する}
STR_RESIGN_SPRX               {SPRXの再著名}
STR_REMOVE_PRXLOADER          {PRX Loaderから削除}
STR_ADD_PRXLOADER             {PRX Loaderに追加}
STR_REMOVE_PRXLOADER2         {PRXLoaderから削除}
STR_ADD_PRXLOADER2            {PRXLoaderに追加}
STR_REMOVE_MAMBA              {Mambaリストから削除}
STR_ADD_MAMBA                 {Mambaリストに追加}
STR_REMOVE_COBRA              {Cobraリストから削除}
STR_ADD_COBRA                 {Cobraリストに追加}
STR_EXTRACT_RCO               {RCOを展開する}
STR_EXTRACT_PKG               {PKGを展開する}
STR_PKG_INFO                  {PKGの情報}
STR_EXTRACT_TRP               {TRPを展開する}
STR_COMPRESS_ISO              {ISOの圧縮}
STR_CHECK_CRC32               {CRC32をチェック}
STR_DECOMPRESS_CSO            {CSOを解凍}
STR_EXTRACT_THM               {THMを展開する}
STR_EXTRACT_P3T               {P3Tを展開する}
STR_EXTRACT_RAF               {RAFを展開する}
STR_EXTRACT_QRC               {QRCを展開する}
STR_EXTRACT_HERE              {ここに展開}
STR_CONVERT_JSX_JS            {JSX を JS に変換する}
STR_CONVERT_VAG_WAV           {VAGをWAVに変換する}
STR_CONVERT_GTF_DDS           {GTFをDDSに変換する}
STR_CONVERT_DDS_PNG           {DDSをPNGに変換する}
STR_MAKE_APNG                 {APNGを作成する}
STR_SET_PERMS                 {権限の設定}
STR_NOGAME                    {ゲームが見つかりません}
STR_GLOB_SETTINGS             {グローバル設定}
STR_ADJUST                    {画面の調節}
STR_ADJUST_DESC               {ディスプレイを調整します。}
STR_DL_COVER                  {パッケージデザインのダウンロード}
STR_DL_COVER_DESC             {不足しているすべてのパッケージデザインをUSRDIR/covers/[gameID].jpgにダウンロードする。}
STR_PLUGIN_MANAGER            {プラグインマネージャ}
STR_PLUGIN_MANAGER_DESC       {dev_hdd0/plugins に保存されているプラグインを管理します。}
STR_UPD_MGZ                   {ManaGunZの更新}
STR_UPD_MGZ_DESC              {ManaGunZの最新バージョンをダウンロードしてインストールします。}
STR_GAME_PATHS                {ゲームバックアップのパス}
STR_GAME_PATHS_DESC           {ManaGunZがバックアップを見つけるパス名を設定します。}
STR_XMB_PRIO                  {XMB™の優先}
STR_XMB_PRIO_DESC             {XMB™でManaGunZのアイコンが上部に表示されます。 次の本体起動後に有効になります。}
STR_HELP                      {ヘルプを表示}
STR_HELP_DESC                 {今ご覧になっている文章を表示します。}
STR_COLOR_1                   {色 1}
STR_COLOR_2                   {色 2}
STR_COLOR_3                   {色 3}
STR_COLOR_4                   {色 4}
STR_COLOR_DESC                {ManaGunZが使用する色を変更します。}
STR_UI_SETTINGS               {ユーザーインターフェイスの設定}
STR_UI                        {ユーザーインターフェイス}
STR_UI_DESC                   {インターフェイスを変更します。}
STR_SIDE_MENU                 {ゲーム サイドメニュー}
STR_SIDE_MENU_DESC            {画面の右側にあるゲームメニューを表示します。}
STR_SHOW_PIC1                 {PIC1を表示}
STR_SHOW_PIC1_DESC            {現在の選択したゲームの背景画像「PIC1」を表示します。 UIリストとGRIDでR1を使用して表示します。}
STR_SHOW_COVER                {パッケージデザインを表示}
STR_SHOW_COVER_DESC           {パッケージデザインを表示します。}
STR_SHOW_GAMECASE             {ゲームケースを表示する}
STR_SHOW_GAMECASE_DESC        {ゲームケースにパッケージデザインを表示します。}
STR_SHOW_ICON0                {ICON0を表示する}
STR_SHOW_ICON0_DESC           {ゲームのメイン画像「ICON0」を表示します。}
STR_GRID_TYPE                 {グリッドの種類}
STR_GRID_TYPE_DESC            {グリッドの移動方法を選択します。}
STR_SCROLL                    {スクロール}
STR_PAGE                      {ページ}
STR_DIRECTION                 {方向}
