STR_LANGUAGE                  {한국인}
STR_LANGCODE                  {\x09}

STR_LANG                      {의 의}
STR_LANG_DESC                 {당신의 언어 선택.}
STR_GATHERING                 {데이터 수집}
STR_COPYING                   {관련 기사}
STR_FROM                      {으로}
STR_TO                        {으로}
STR_FILES                     {의 의}
STR_DIRS                      {주요연혁}
STR_UNKNOWN                   {이름 *}
STR_FILE                      {...}
STR_CANCEL                    {의 의}
STR_TURNOFF                   {기타 제품}
STR_CANCELLED                 {뚱 베어}
STR_UNIT                      {팟캐스트}
STR_TOTALSIZE                 {총 크기}
STR_HIDELOGS                  {로그인}
STR_SHOWLOGS                  {로그보기}
STR_BOOST                     {더 보기}
STR_GAMEMENU                  {게임 메뉴}
STR_SETTINGS                  {의 특징}
STR_MOUNTGAME                 {산 Game}
STR_FILTER                    {제품정보}
STR_FAVORITE                  {이름 *}
STR_FILEMANAGER               {파일 관리자}
STR_HOLD                      {...}
STR_EXIT                      {오시는길}
STR_GAME_PROP                 {게임 속성}
STR_GAME_TITLE                {1명}
STR_GAME_PATH                 {- 연혁}
STR_GAME_FORMAT               {(주)}
STR_GAME_SIZE                 {크기 (mm)}
STR_GAME_PLATFORM             {회사연혁}
STR_SYSVERS                   {회사 소개}
STR_GAMEID                    {인증현황}
STR_ELFCRC                    {엘프 CRC}
STR_ELFCRCO                   {ELF CRC (원래)}
STR_BACK                      {기타}
STR_ENTER                     {은}
STR_UPDATE_FOUND              {업데이트}
STR_UPDATE                    {...}
STR_SIZE                      {크기 (mm)}
STR_SYSTEM                    {시스템}
STR_DL                        {다운로드}
STR_DL_ALL                    {다운로드}
STR_UNPLUG                    {뒤에 오는 장치를 폐쇄하십시오 (s)}
STR_PATH                      {- 연혁}
STR_TYPE                      {제품정보}
STR_FOLDER                    {뚱 베어}
STR_DIR                       {의논하기}
STR_MULT                      {은}
STR_THM_SETTINGS              {테마 설정}
STR_THM                       {(주)}
STR_THM_DESC                  {당신이 원하는 테마를로드. dev_usbXXX/Themes에서 설치할 수 있습니다.}
STR_CREATE                    {을 읽다}
STR_ZOOM_OUT                  {줌 아웃}
STR_ZOOM_IN                   {줌 IN}
STR_MOVE_FRAME                {이동 구조}
STR_CHECK                     {. ..}
STR_UNCHECK                   {기타 제품}
STR_GAME_OPTION               {게임 옵션}
STR_ADD_FAV                   {자주 묻는 질문}
STR_REM_FAV                   {자주 묻는 질문}
STR_FAV_DESC                  {좋아하는 게임을 관리하세요.}
STR_RENAME                    {이름 *}
STR_RENAME_DESC               {백업의 제목을 이름을 변경합니다.}
STR_DELETE                    {기타}
STR_DELETE_DESC               {백업 삭제}
STR_COPY                      {. ..}
STR_COPY_DESC                 {다른 경로로 백업을 복사합니다.}
STR_CREATE_ICON0              {ICON0 만들기}
STR_CREATE_ICON0_DESC         {덮개에서 가짜 ICON0 만들기.}
STR_REST_PNACH                {PNACH를 복원}
STR_REST_PNACH_DESC           {pnach 파일에 의해 백업에 적용된 패치를 제거하십시오.}
STR_APPLY_PNACH               {PNACH 신청}
STR_APPLY_PNACH_DESC          {pnach 파일에서 백업에 패치를 적용합니다.}
STR_DISABLE_WS                {WideScreen 사용}
STR_ENABLE_WS                 {WideScreen 사용}
STR_WS_DESC                   {4:3 대신 16:9에서 게임을 표시합니다.}
STR_DISABLE_480P              {480P 사용}
STR_ENABLE_480P               {480P 사용 가능}
STR_480P_DESC                 {480P의 진보적인 검사 형태.}
STR_DISABLE_YFIX              {YFIX 사용}
STR_ENABLE_YFIX               {YFIX 사용}
STR_YFIX_DESC                 {수직 위치를 수정합니다.}
STR_DISABLE_FMVSKIP           {FMV 사용 퀵메뉴}
STR_ENABLE_FMVSKIP            {FMV 사용 퀵메뉴}
STR_FMVSKIP_DESC              {전체 모션 비디오를 건너 뛸 수 있습니다.}
STR_DISABLE_NETEMU            {NetEMU 사용}
STR_ENABLE_NETEMU             {NetEMU 사용}
STR_NETEMU_DESC               {ps2 netemu의 사용을 강제하십시오.}
STR_SAVE_CONFIG               {CONFIG 할인}
STR_CONFIG                    {제품 설명}
STR_CONFIG_DESC               {[체험] Ps2 백업을 수정하려면 자체 CONFIG 파일을 만듭니다.}
STR_NONE                      {ᄋᄋ}
STR_CHECK_MD5                 {MD5 확인}
STR_PROPS                     {의 특징}
STR_PROPS_DESC                {백업의 속성을 표시합니다.}
STR_GAME_SETTINGS             {게임 설정}
STR_DIRECT_BOOT               {직접 부팅}
STR_DIRECT_BOOT_DESC          {XMB로 돌아가지 않고 직접 게임을 시작합니다.}
STR_YES                       {이름 *}
STR_NO                        {은}
STR_CLEAN_SYSCALL             {깨끗한 syscall}
STR_CLEAN_SYSCALL_DESC        {syscalls를 읽을 수 있습니다.}
STR_CHANGE_IDPS               {IDPS 변경}
STR_CHANGE_IDPS_DESC          {lv2에 IDPS를 변경하십시오.}
STR_EXT_GAME_DATA             {Ext. 게임 데이터}
STR_EXT_GAME_DATA_DESC        {시스템 대신 USB 장치에서 gamedata를 설치하십시오.}
STR_PAYLOAD                   {결제하기}
STR_PAYLOAD_DESC              {백업을 마운트하기 위해 payload를 선택하십시오.}
STR_PRIM_USB                  {기본 USB 설정}
STR_PRIM_USB_DESC             {USB 장치를 메인 USB 장치로 저장합니다.}
STR_BDEMU                     {BD 에뮬레이션}
STR_BDEMU_DESC                {emulation의 유형을 사용하여 백업을 마운트하십시오.}
STR_PATCH_LIBFS               {패치 libfs}
STR_PATCH_LIBFS_DESC          {사용하려는 libfs를 패치한 것을 선택하십시오.}
STR_MOUNT_APPHOME             {마운트 /app_home}
STR_MOUNT_APPHOME_DESC        {경로 /app_home 으로 /dev_bdvd 를 리디렉션합니다.}
STR_PATCH_EXP                 {패치 탐색_plugin}
