STR_LANGUAGE                  {Português}
STR_LANGCODE                  {\x06}

STR_LANG                      {Língua}
STR_LANG_DESC                 {Escolha o seu idioma.}
STR_GATHERING                 {Recolhendo dados.}
STR_COPYING                   {Entendido.}
STR_FROM                      {a partir de}
STR_TO                        {para}
STR_FILES                     {Arquivos}
STR_DIRS                      {Directoria}
STR_UNKNOWN                   {Desconhecido}
STR_FILE                      {Arquivo}
STR_CANCEL                    {Cancelar Cancelar Cancelar}
STR_TURNOFF                   {Desliga.}
STR_CANCELLED                 {Cancelado}
STR_UNIT                      {Bytes}
STR_TOTALSIZE                 {Tamanho total}
STR_HIDELOGS                  {Esconder registos}
STR_SHOWLOGS                  {Mostrar registos}
STR_BOOST                     {Aumenta!}
STR_GAMEMENU                  {Menu do jogo}
STR_SETTINGS                  {Configurações}
STR_MOUNTGAME                 {Jogo de montagem}
STR_FILTER                    {Filtro}
STR_FAVORITE                  {Favorito}
STR_FILEMANAGER               {Gerenciador de arquivos}
STR_HOLD                      {Espere.}
STR_EXIT                      {Sair}
STR_GAME_PROP                 {Propriedades do jogo}
STR_GAME_TITLE                {Título}
STR_GAME_PATH                 {Caminho}
STR_GAME_FORMAT               {Formato}
STR_GAME_SIZE                 {Tamanho}
STR_GAME_PLATFORM             {Plataforma}
STR_SYSVERS                   {Firmware}
STR_GAMEID                    {Identificação}
STR_ELFCRC                    {ELF CRC}
STR_ELFCRCO                   {ELF CRC (Original)}
STR_BACK                      {Voltar}
STR_ENTER                     {Entrar}
STR_UPDATE_FOUND              {Atualização encontrada}
STR_UPDATE                    {Atualização}
STR_SIZE                      {Tamanho}
STR_SYSTEM                    {Sistema}
STR_DL                        {Baixar}
STR_DL_ALL                    {Baixar ALL}
STR_UNPLUG                    {Desligue o seguinte dispositivo (s)}
STR_PATH                      {Caminho}
STR_TYPE                      {Tipo}
STR_FOLDER                    {Pasta}
STR_DIR                       {Diretório}
STR_MULT                      {Múltiplos}
STR_THM_SETTINGS              {Configurações do tema}
STR_THM                       {Tema}
STR_THM_DESC                  {Carrega o tema que queres. Você pode instalá-los de dev_usbXXX/Temas.}
STR_CREATE                    {Criar um}
STR_ZOOM_OUT                  {Zoom}
STR_ZOOM_IN                   {Zoom em frente}
STR_MOVE_FRAME                {Moldura de movimento}
STR_CHECK                     {Verificação}
STR_UNCHECK                   {Desmarcar}
STR_GAME_OPTION               {Opções de jogo}
STR_ADD_FAV                   {Adicionar aos favoritos}
STR_REM_FAV                   {Remover dos favoritos}
STR_FAV_DESC                  {Gerencie uma lista de seus jogos favoritos.}
STR_RENAME                    {Renomear}
STR_RENAME_DESC               {Renomeie o título do seu backup.}
STR_DELETE                    {Excluir}
STR_DELETE_DESC               {Apague o backup.}
STR_COPY                      {Entendido.}
STR_COPY_DESC                 {Copie seu backup para outro caminho.}
STR_CREATE_ICON0              {Criar ICON0}
STR_CREATE_ICON0_DESC         {Crie um ICON0 falso da capa.}
STR_REST_PNACH                {Restaurar PNACH}
STR_REST_PNACH_DESC           {Remova os patches aplicados pelo arquivo pnach para o backup.}
